ID_MAPA,Subdistrict (English),District (English),year_week,Cases
TH103802,Chorakhe Bua,Lat Phrao,2025-W27,0
TH102704,Nawamin,Bueng Kum,2025-W27,0
TH104503,Khlong Chao Khun,Wang Thonglang,2025-W27,0
TH102007,Bang Khun Si,Bangkok Noi,2025-W27,1
TH103403,Phatthanakan,Suan Luang,2025-W27,0
TH104602,Sam Wa Tawan Ok,Khlong Sam Wa,2025-W27,1
TH104604,Sai Kong Din,Khlong Sam Wa,2025-W27,0
TH100204,Si Yaek Mahanak,Dusit,2025-W27,0
TH100202,Wachira Phayaban,Dusit,2025-W27,0
TH101907,Bang Chueak Nang,Taling Chan,2025-W27,0
TH101903,Chim Phli,Taling Chan,2025-W27,0
TH101502,Hiran Ruchi,Thon Buri,2025-W27,0
TH101601,Wat Arun,Bangkok Yai,2025-W27,0
TH105005,Khlong Bang Bon,Bang Bon,2025-W27,0
TH105004,Khlong Bang Phran,Bang Bon,2025-W27,0
TH102502,Bang O,Bang Phlat,2025-W27,0
TH100404,Bang Rak,Bang Rak,2025-W27,0
TH100403,Suriyawong,Bang Rak,2025-W27,0
TH100405,Si Phraya,Bang Rak,2025-W27,0
TH100703,Pathum Wan,Pathum Wan,2025-W27,0
TH100702,Wang Mai,Pathum Wan,2025-W27,0
TH100804,Ban Bat,Pom Prap Sattru Phai,2025-W27,0
TH100805,Wat Sommanat,Pom Prap Sattru Phai,2025-W27,0
TH100802,Wat Thepsirin,Pom Prap Sattru Phai,2025-W27,0
TH100111,Bang Khun Phrom,Phra Nakhon,2025-W27,0
TH100108,Talat Yot,Phra Nakhon,2025-W27,0
TH100112,Wat Sam Phraya,Phra Nakhon,2025-W27,1
TH100101,Phra Borom Maha Ratchawang,Phra Nakhon,2025-W27,0
TH100106,Sao Chingcha,Phra Nakhon,2025-W27,0
TH100104,Samran Rat,Phra Nakhon,2025-W27,0
TH100105,San Chao Pho Suea,Phra Nakhon,2025-W27,0
TH102202,Bang Duan,Phasi Charoen,2025-W27,0
TH102210,Kuha Sawan,Phasi Charoen,2025-W27,2
TH102208,Khlong Khwang,Phasi Charoen,2025-W27,0
TH103703,Thanon Phetchaburi,Ratchathewi,2025-W27,1
TH101106,Khum Thong,Lat Krabang,2025-W27,0
TH104502,Saphan Song,Wang Thonglang,2025-W27,0
TH101302,Samphanthawong,Samphanthawong,2025-W27,2
TH101301,Chakkrawat,Samphanthawong,2025-W27,0
TH100304,Khlong Sip Song,Nong Chok,2025-W27,0
TH100306,Khu Fang Nuea,Nong Chok,2025-W27,1
TH100308,Lam Toiting,Nong Chok,2025-W27,0
TH100203,Suan Chitlada,Dusit,2025-W28,0
TH100103,Wat Ratchabophit,Phra Nakhon,2025-W28,0
TH100109,Chana Songkhram,Phra Nakhon,2025-W28,1
TH104401,Saphan Sung,Saphan Sung,2025-W28,5
TH101804,Khlong Ton Sai,Khlong San,2025-W28,0
TH101802,Khlong San,Khlong San,2025-W28,0
TH105002,Bang Bon Nuea,Bang Bon,2025-W28,0
TH102401,Rat Burana,Rat Burana,2025-W28,0
TH101801,Somdet Chao Phraya,Khlong San,2025-W28,1
