Country,Year,Epi. Week (a),Total of Dengue Cases (b),Casos_Nuevos,iso3,area_km2,Population (historical),Inc_Nueva
Trinidad and Tobago,2022,28,21.142857142857142,0.6428571428571423,TTO,7738.923479266789,1502976.1949249017,0.042772277101119596
Trinidad and Tobago,2022,29,21.785714285714285,0.6428571428571423,TTO,7738.923479266789,1503090.6138801225,0.04276902117016432
Trinidad and Tobago,2022,30,22.42857142857143,0.6428571428571459,TTO,7738.923479266789,1503205.0328353434,0.04276576573487049
Trinidad and Tobago,2022,31,23.071428571428573,0.6428571428571423,TTO,7738.923479266789,1503319.4517905642,0.04276251079512423
Trinidad and Tobago,2022,32,23.714285714285715,0.6428571428571423,TTO,7738.923479266789,1503433.870745785,0.0427592563508131
Trinidad and Tobago,2022,33,24.357142857142858,0.6428571428571423,TTO,7738.923479266789,1503548.2897010061,0.04275600240182376
Trinidad and Tobago,2022,34,25.0,0.6428571428571423,TTO,7738.923479266789,1503662.708656227,0.04275274894804316
Trinidad and Tobago,2022,35,31.5,6.5,TTO,7738.923479266789,1503777.1276114478,0.4322449038924003
Trinidad and Tobago,2022,36,38.0,6.5,TTO,7738.923479266789,1503891.5465666687,0.432212017870522
Trinidad and Tobago,2022,37,38.0,0.0,TTO,7738.923479266789,1504005.9655218897,0.0
Trinidad and Tobago,2022,38,38.0,0.0,TTO,7738.923479266789,1504120.3844771106,0.0
Trinidad and Tobago,2022,39,38.0,0.0,TTO,7738.923479266789,1504234.8034323314,0.0
Trinidad and Tobago,2022,40,38.0,0.0,TTO,7738.923479266789,1504349.2223875523,0.0
Trinidad and Tobago,2022,41,41.0,3.0,TTO,7738.923479266789,1504463.6413427733,0.19940661359701728
Trinidad and Tobago,2022,42,44.0,3.0,TTO,7738.923479266789,1504578.0602979942,0.19939144928152316
Trinidad and Tobago,2022,43,47.0,3.0,TTO,7738.923479266789,1504692.479253215,0.19937628727226125
Trinidad and Tobago,2022,44,50.0,3.0,TTO,7738.923479266789,1504806.8982084359,0.1993611275687055
Trinidad and Tobago,2022,45,50.25,0.25,TTO,7738.923479266789,1504921.317163657,0.01661216418086083
Trinidad and Tobago,2022,46,50.5,0.25,TTO,7738.923479266789,1505035.7361188778,0.016610901256384075
Trinidad and Tobago,2022,47,50.75,0.25,TTO,7738.923479266789,1505150.1550740986,0.016609638523918068
Trinidad and Tobago,2022,48,51.0,0.25,TTO,7738.923479266789,1505264.5740293195,0.01660837598341901
Trinidad and Tobago,2022,49,51.25,0.25,TTO,7738.923479266789,1505378.9929845405,0.016607113634843143
Trinidad and Tobago,2022,50,51.5,0.25,TTO,7738.923479266789,1505493.4119397614,0.016605851478146697
Trinidad and Tobago,2022,51,51.75,0.25,TTO,7738.923479266789,1505607.8308949822,0.01660458951328593
Trinidad and Tobago,2022,52,52.0,0.25,TTO,7738.923479266789,1505722.249850203,0.01660332774021711
Turks and Caicos Islands,2014,1,0.0,0.0,TCA,991.4510854718388,34465.46645367412,0.0
Turks and Caicos Islands,2014,2,0.0,0.0,TCA,991.4510854718388,34495.86900958466,0.0
Turks and Caicos Islands,2014,3,0.0,0.0,TCA,991.4510854718388,34526.271565495204,0.0
Turks and Caicos Islands,2014,4,0.0,0.0,TCA,991.4510854718388,34556.67412140575,0.0
Turks and Caicos Islands,2014,5,0.0,0.0,TCA,991.4510854718388,34587.07667731629,0.0
Turks and Caicos Islands,2014,6,0.0,0.0,TCA,991.4510854718388,34617.47923322683,0.0
Turks and Caicos Islands,2014,7,0.0,0.0,TCA,991.4510854718388,34647.88178913738,0.0
Turks and Caicos Islands,2014,8,0.0,0.0,TCA,991.4510854718388,34678.28434504793,0.0
Turks and Caicos Islands,2014,9,0.0,0.0,TCA,991.4510854718388,34708.68690095847,0.0
Turks and Caicos Islands,2014,10,0.0,0.0,TCA,991.4510854718388,34739.08945686901,0.0
Turks and Caicos Islands,2014,11,0.0,0.0,TCA,991.4510854718388,34769.492012779556,0.0
Turks and Caicos Islands,2014,12,0.0,0.0,TCA,991.4510854718388,34799.8945686901,0.0
Turks and Caicos Islands,2014,13,0.0,0.0,TCA,991.4510854718388,34830.29712460064,0.0
Turks and Caicos Islands,2014,14,0.0,0.0,TCA,991.4510854718388,34860.699680511185,0.0
Turks and Caicos Islands,2014,15,0.0,0.0,TCA,991.4510854718388,34891.10223642173,0.0
Turks and Caicos Islands,2014,16,0.0,0.0,TCA,991.4510854718388,34921.50479233227,0.0
Turks and Caicos Islands,2014,17,0.0,0.0,TCA,991.4510854718388,34951.907348242814,0.0
Turks and Caicos Islands,2014,18,0.0,0.0,TCA,991.4510854718388,34982.30990415336,0.0
Turks and Caicos Islands,2014,19,0.0,0.0,TCA,991.4510854718388,35012.7124600639,0.0
Turks and Caicos Islands,2014,20,0.0,0.0,TCA,991.4510854718388,35043.11501597444,0.0
Turks and Caicos Islands,2014,21,0.0,0.0,TCA,991.4510854718388,35073.517571884986,0.0
Turks and Caicos Islands,2014,22,0.0,0.0,TCA,991.4510854718388,35103.92012779553,0.0
Turks and Caicos Islands,2014,23,0.0,0.0,TCA,991.4510854718388,35134.32268370607,0.0
Turks and Caicos Islands,2014,24,0.0,0.0,TCA,991.4510854718388,35164.725239616615,0.0
