ADM1_NAME,date,temp_c,rh_mean,total_precipitation_sum
Kampaeng Phet,2005-08-01,26.297077701763612,83.24304456963768,0.20457311634779618
Kampaeng Phet,2005-09-01,25.905829975929237,86.49270518854547,0.34063553891835857
Kampaeng Phet,2005-10-01,25.432369718545203,80.43688228283449,0.10207059860511422
Kampaeng Phet,2005-11-01,24.598255309159356,77.15011802187135,0.04836314087382857
Kampaeng Phet,2005-12-01,22.78341932461683,65.93663566233803,0.021408653073591365
Kampaeng Phet,2006-01-01,23.308016730399686,61.35346230657106,0.0003367310605461962
Kampaeng Phet,2006-02-01,26.263308199122662,58.10315654445952,0.006293818472620561
Kampaeng Phet,2006-03-01,28.749161090852624,55.549320912537645,0.03991231345145924
Kampaeng Phet,2006-04-01,28.75802152390088,63.19000356052903,0.09405913606152547
Kampaeng Phet,2006-05-01,26.82724960370865,77.95548498676948,0.2999970495875193
Kampaeng Phet,2006-06-01,26.700896556980865,81.93521019269389,0.20085666426752202
Kampaeng Phet,2006-07-01,26.226481680498466,84.2744073585989,0.22994127761809727
Kampaeng Phet,2006-08-01,25.909160676645683,84.55063260122346,0.3063871760336679
Kampaeng Phet,2006-09-01,25.518041641618765,86.749071638947,0.3448605663139018
Kampaeng Phet,2006-10-01,25.496622497370197,82.43506899601925,0.21998878218561496
Kampaeng Phet,2006-11-01,25.51019046399233,69.42567480946387,0.002471811800605859
Kampaeng Phet,2006-12-01,23.033015121891992,61.3660535453804,0.001006524659050448
Kampaeng Phet,2007-01-01,23.824263104126032,58.475105793292805,0.0012362060940436439
Kampaeng Phet,2007-02-01,25.81360761199761,52.01686949119404,0.001681413614868786
Kampaeng Phet,2007-03-01,28.548839270011683,49.5937185944631,0.01705470795677465
Kampaeng Phet,2007-04-01,29.243660610220957,60.07410998380678,0.0760206253202852
Kampaeng Phet,2007-05-01,26.067293832788323,85.45064039420764,0.35874502914853573
Kampaeng Phet,2007-06-01,27.2387960974894,82.3126141604908,0.23651410650565086
Kampaeng Phet,2007-07-01,26.521398593510924,83.65640603756952,0.2001747417904808
Kampaeng Phet,2007-08-01,26.22105952364467,84.74992050029097,0.30425070522354924
Kampaeng Phet,2007-09-01,25.86420171809044,85.87185308090709,0.34118552075543446
Kampaeng Phet,2007-10-01,24.958926979902287,82.61890511709038,0.22336798207299363
Kampaeng Phet,2007-11-01,23.19088983867732,72.7606770062881,0.019413690412182855
Kampaeng Phet,2007-12-01,23.88944290998853,66.79795290805869,0.001170688615800407
Kampaeng Phet,2008-01-01,23.703746674151773,62.30323021355476,0.006445354309096736
Kampaeng Phet,2008-02-01,24.86577065454577,61.44082706430758,0.024399069339821066
Kampaeng Phet,2008-03-01,27.604002949107837,57.27839477660556,0.019115426153609134
Kampaeng Phet,2008-04-01,28.464582970852803,68.82286633456697,0.15733554690382354
Kampaeng Phet,2008-05-01,26.23603610573406,82.59314350060636,0.31147897180168727
Kampaeng Phet,2008-06-01,26.391883845851282,83.71110718511432,0.2454958607022766
Kampaeng Phet,2008-07-01,25.951745715731704,84.97050145183564,0.24150874681418838
Kampaeng Phet,2008-08-01,25.93056530567378,85.46973426703455,0.27115204820476196
Kampaeng Phet,2008-09-01,25.85099424744817,84.95768955461658,0.28170222853032817
Kampaeng Phet,2008-10-01,25.492028081297804,85.53778714672683,0.21660268690475853
Kampaeng Phet,2008-11-01,23.12668846625087,77.82938074413028,0.06124870477387588
Kampaeng Phet,2008-12-01,21.20070658680828,70.84014912233495,0.008983341845599341
Kampaeng Phet,2009-01-01,21.30033682437056,63.24743449569764,0.0006409897810836464
Kampaeng Phet,2009-02-01,26.446180224236457,60.42295049780208,0.007009024314645575
Kampaeng Phet,2009-03-01,27.47168299049963,61.58405796520017,0.056263084361124704
Kampaeng Phet,2009-04-01,28.640398331752124,66.08877550587162,0.10155863332277046
Kampaeng Phet,2009-05-01,26.98105991255545,80.93306931059495,0.27110365846578593
Kampaeng Phet,2009-06-01,26.411578740788855,83.99586599948641,0.27606389072097065
Kampaeng Phet,2009-07-01,26.18396441833039,83.88827247197415,0.19446777016028327
Kampaeng Phet,2009-08-01,26.549393390160674,84.17021360095256,0.24150540983395966
Kampaeng Phet,2009-09-01,26.318699003411552,84.97156537433452,0.307681130400397
Kampaeng Phet,2009-10-01,25.728134969288135,85.30226823000731,0.16481242538522414
Kampaeng Phet,2009-11-01,23.835422870323043,72.58995751787384,0.01829144627672327
Kampaeng Phet,2009-12-01,23.4069587219862,69.04570065967576,0.0015437321528134831
Kampaeng Phet,2010-01-01,24.49766361991277,72.90453016222294,0.05157782735716091
Kampaeng Phet,2010-02-01,26.8932810556999,60.184265491637525,0.004327930873868408
Kampaeng Phet,2010-03-01,28.592300468898657,52.16871303268215,0.005680924960055545
Kampaeng Phet,2010-04-01,30.81675760875123,52.7564748611114,0.031989676897068185
Kampaeng Phet,2010-05-01,30.42844354727032,63.86277585950686,0.08389069973698195
Kampaeng Phet,2010-06-01,28.575976029756305,74.38449430499598,0.22938624185303
Kampaeng Phet,2010-07-01,26.972514555467228,82.77576018976454,0.24756796423948302
Kampaeng Phet,2010-08-01,26.099811113203714,86.91033702094705,0.3710409225998802
Kampaeng Phet,2010-09-01,26.048526102303697,86.56936444881255,0.32785540443120575
Kampaeng Phet,2010-10-01,24.847353020069534,85.8868462065962,0.3332751253573112
Kampaeng Phet,2010-11-01,24.251352583163396,72.50048370817636,0.003177278579981419
Kampaeng Phet,2010-12-01,23.473585492215136,73.24994475706022,0.031814474470072296
Kampaeng Phet,2011-01-01,22.64208496731527,63.586380809602886,0.0019791870784464124
Kampaeng Phet,2011-02-01,25.500284342503505,62.72515553103488,0.015953797997994987
Kampaeng Phet,2011-03-01,24.313277556774892,72.38521464580087,0.1769373856794755
Kampaeng Phet,2011-04-01,26.69920812247409,77.42669170051913,0.11688178106972874
Kampaeng Phet,2011-05-01,26.454158717419944,83.98403531478199,0.26604296794520843
Kampaeng Phet,2011-06-01,26.203086255054984,84.36097138779058,0.19930216037645063
Kampaeng Phet,2011-07-01,26.198540319309473,83.83992765500065,0.26310440039436783
Kampaeng Phet,2011-08-01,25.91007263506583,85.66023104823591,0.27998759799975004
Kampaeng Phet,2011-09-01,25.674096956046867,87.38312428444178,0.4294933048929715
Kampaeng Phet,2011-10-01,24.97670356670187,84.04072277855215,0.1972034077220824
Kampaeng Phet,2011-11-01,24.503495958484166,73.32110110522896,0.0116384904484373
Kampaeng Phet,2011-12-01,22.548244674806426,65.53197649242395,0.0034399762300126656
Kampaeng Phet,2012-01-01,24.134571739357852,70.27689504505871,0.03918054293245172
Kampaeng Phet,2012-02-01,26.035258201422835,64.91068000471424,0.0445580000874478
Kampaeng Phet,2012-03-01,28.159516056499967,56.257137866076604,0.03574447958048986
Kampaeng Phet,2012-04-01,29.79245733454735,58.4785654721171,0.035254132218011214
Kampaeng Phet,2012-05-01,27.685453408459352,76.51324053624793,0.23339999065716302
Kampaeng Phet,2012-06-01,26.677087290118948,81.01964200067482,0.18651671841603842
Kampaeng Phet,2012-07-01,26.024950349963603,84.36319583774387,0.2536820996882811
Kampaeng Phet,2012-08-01,25.69718055867395,84.81963180487129,0.23652681324828828
Kampaeng Phet,2012-09-01,25.8041805545364,86.1552912866986,0.25593937507029
Kampaeng Phet,2012-10-01,25.816189388287626,80.62812489357415,0.1266668087129405
Kampaeng Phet,2012-11-01,25.862736759465065,80.49310357595999,0.0531084502057333
Kampaeng Phet,2012-12-01,24.92822848180282,71.33786326405517,0.01228317730389824
Kampaeng Phet,2013-01-01,23.956294886885246,65.9817282963001,0.02685032528401465
Kampaeng Phet,2013-02-01,26.852265954036,63.505103039427624,0.01833565386090022
Kampaeng Phet,2013-03-01,28.204065685057117,53.537437473495395,0.021310337418320998
Kampaeng Phet,2013-04-01,30.303005080141702,54.593687431160035,0.0366560063580563
Kampaeng Phet,2013-05-01,29.201417001794027,67.5198954509617,0.1407832191211587
Kampaeng Phet,2013-06-01,26.640020997968406,82.60318607248821,0.2598166091096529
Kampaeng Phet,2013-07-01,25.9663850078785,84.4875624749245,0.3061500366231453
Kampaeng Phet,2013-08-01,25.76327549349753,85.52265379811381,0.3336774031253114
Kampaeng Phet,2013-09-01,25.692318983073847,87.24481959187007,0.3781637576377199
Kampaeng Phet,2013-10-01,25.076025472700167,81.56238413826526,0.15750601000150022
Kampaeng Phet,2013-11-01,24.66048071472153,79.28771750843076,0.04734959676699064
Kampaeng Phet,2013-12-01,20.39284139292124,71.67338947274104,0.022494279065755827
Kampaeng Phet,2014-01-01,21.292736635750146,62.983356307543794,0.0002493779704741453
Kampaeng Phet,2014-02-01,25.240385857569606,59.588849659982266,0.0030413002343752226
Kampaeng Phet,2014-03-01,28.033172227486546,56.546839253627766,0.02139868137005878
Kampaeng Phet,2014-04-01,29.55571656103399,62.485589913223535,0.05608314037126201
Kampaeng Phet,2014-05-01,28.886720177147197,70.46467282980934,0.15045806628657257
Kampaeng Phet,2014-06-01,27.728050970830964,77.05480738015737,0.1732557245015718
Kampaeng Phet,2014-07-01,26.729473250616763,81.50755661043908,0.27821238998063336
Kampaeng Phet,2014-08-01,26.021215061190674,85.62995170373017,0.2913852002751249
Kampaeng Phet,2014-09-01,26.1045256055948,84.15250339492968,0.2354205178135684
Kampaeng Phet,2014-10-01,25.10721456673474,83.22401948280938,0.09807811488303463
Kampaeng Phet,2014-11-01,24.552052264761187,79.47858827416773,0.04360372375133624
Kampaeng Phet,2014-12-01,23.313360181241535,67.14838265996548,0.003923861672577746
Kampaeng Phet,2015-01-01,21.76336053274656,69.56341595251797,0.056328619034363765
Kampaeng Phet,2015-02-01,24.86132400892558,59.837159753810774,0.007116883167672483
Kampaeng Phet,2015-03-01,28.140134027667557,61.30275615032005,0.048845409993932394
Kampaeng Phet,2015-04-01,28.755094032237537,59.40702392660815,0.07262894778564927
Kampaeng Phet,2015-05-01,29.688210383975672,65.2255264006221,0.08912892703006754
Kampaeng Phet,2015-06-01,28.320441058384745,71.44979267988681,0.1743934684048717
Kampaeng Phet,2015-07-01,26.89638878519162,78.91900260122327,0.21794755837712615
Kampaeng Phet,2015-08-01,26.394748231109872,83.82301871038047,0.2723349974127314
Kampaeng Phet,2015-09-01,26.36444151272599,84.40245013712358,0.2637690042068726
Kampaeng Phet,2015-10-01,25.600741842853324,83.31595004443044,0.16205358856590635
Kampaeng Phet,2015-11-01,25.986560334034152,76.58212622157289,0.02781918543873032
Kampaeng Phet,2015-12-01,24.1746074846551,73.31141394430519,0.03627992643982141
Kampaeng Phet,2016-01-01,22.971943382510062,65.61045527652547,0.03311515258350925
Kampaeng Phet,2016-02-01,24.607053623176625,55.418717963402386,0.0010988514740326997
Kampaeng Phet,2016-03-01,28.80939487294745,50.440321314515344,0.01483315068598296
Kampaeng Phet,2016-04-01,32.04123603224673,46.62449973677177,0.012896533935856444
Kampaeng Phet,2016-05-01,30.540641930880213,59.66032764464458,0.16902291920605492
Kampaeng Phet,2016-06-01,26.797251098045308,83.35902067997657,0.26280495080332467
Kampaeng Phet,2016-07-01,26.49711404703538,84.36364255472122,0.203139332709712
Kampaeng Phet,2016-08-01,26.257600708313248,85.17998760884878,0.3069216277452363
Kampaeng Phet,2016-09-01,25.968067862616522,86.65153587505571,0.34407947245289294
Kampaeng Phet,2016-10-01,25.888002236086436,84.90852772634395,0.17594227799007706
Kampaeng Phet,2016-11-01,24.67229962305504,79.5559198539763,0.04467585065148235
Kampaeng Phet,2016-12-01,23.644931410888375,72.15069944971737,0.005964907544465704
Kampaeng Phet,2017-01-01,23.700964806888237,74.9697483400887,0.06117562129790945
Kampaeng Phet,2017-02-01,24.856181433049358,58.42928337076836,0.001569031538119519
